adm0_en,len_crs,area_crs,len_km,area_km2
Philippines (the),3717,272864,3,0.0
Philippines (the),144,1182,0,0.0
Philippines (the),4190,1021169,4,1.0
Philippines (the),231,2263,0,0.0
Philippines (the),1090,88791,1,0.0
Philippines (the),10085,1169525,10,1.0
Philippines (the),483,17711,0,0.0
Philippines (the),1197,59102,1,0.0
Philippines (the),17280,4587993,17,4.0
Philippines (the),1200,79564,1,0.0
Philippines (the),431,11912,0,0.0
Philippines (the),404,11386,0,0.0
Philippines (the),4206,519967,4,0.0
Philippines (the),382890,623368974,382,623.0
Philippines (the),16510,6050610,16,6.0
Philippines (the),14492,8052041,14,8.0
Philippines (the),10194,4505015,10,4.0
Philippines (the),80,433,0,0.0
Philippines (the),65,317,0,0.0
Philippines (the),79,417,0,0.0
Philippines (the),152,877,0,0.0
Philippines (the),1219,34801,1,0.0
Philippines (the),34010,6910406,34,6.0
Philippines (the),53777,53903576,53,53.0
Philippines (the),433,10403,0,0.0
Philippines (the),845,19222,0,0.0
Philippines (the),262,4937,0,0.0
Philippines (the),1435,32347,1,0.0
Philippines (the),1279,32669,1,0.0
Philippines (the),168,1382,0,0.0
Philippines (the),191,2754,0,0.0
Philippines (the),2381,122726,2,0.0
Philippines (the),7988,2280939,7,2.0
Philippines (the),1239,13738,1,0.0
Philippines (the),32951,3407998,32,3.0
Philippines (the),1860,41988,1,0.0
Philippines (the),7401,3018001,7,3.0
Philippines (the),1710,17402,1,0.0
Philippines (the),294,5323,0,0.0
Philippines (the),496,11882,0,0.0
Philippines (the),9666,574689,9,0.0
Philippines (the),363,1686,0,0.0
Philippines (the),2279,339671,2,0.0
Philippines (the),739,26935,0,0.0
Philippines (the),3299,659066,3,0.0
Philippines (the),250,4064,0,0.0
Philippines (the),1098,50611,1,0.0
Philippines (the),298,2837,0,0.0
Philippines (the),21715,3227558,21,3.0
Philippines (the),1603,68629,1,0.0
Philippines (the),767,26070,0,0.0
Philippines (the),190,2218,0,0.0
Philippines (the),2368,129928,2,0.0
Philippines (the),194,2313,0,0.0
Philippines (the),251,2487,0,0.0
Philippines (the),726,20963,0,0.0
Philippines (the),826,30678,0,0.0
Philippines (the),1153,54726,1,0.0
Philippines (the),252,2341,0,0.0
Philippines (the),2272,105256,2,0.0
Philippines (the),412,7046,0,0.0
Philippines (the),542,10534,0,0.0
Philippines (the),203,2126,0,0.0
Philippines (the),281,4319,0,0.0
Philippines (the),988,38874,0,0.0
Philippines (the),1130,35475,1,0.0
Philippines (the),215,2841,0,0.0
Philippines (the),176,1800,0,0.0
Philippines (the),5791,1448485,5,1.0
Philippines (the),681,14823,0,0.0
Philippines (the),316,4865,0,0.0
Philippines (the),575,17620,0,0.0
Philippines (the),62443,35268554,62,35.0
Philippines (the),1290,62396,1,0.0
Philippines (the),535,10358,0,0.0
Philippines (the),209,2968,0,0.0
Philippines (the),172,2101,0,0.0
Philippines (the),158,1690,0,0.0
Philippines (the),218,2587,0,0.0
Philippines (the),310,6554,0,0.0
Philippines (the),105,780,0,0.0
Philippines (the),898,42491,0,0.0
Philippines (the),368,8566,0,0.0
Philippines (the),328,5245,0,0.0
Philippines (the),80,419,0,0.0
Philippines (the),7248,580200,7,0.0
Philippines (the),276,3152,0,0.0
Philippines (the),947,8757,0,0.0
Philippines (the),1530,100215,1,0.0
Philippines (the),1857,190411,1,0.0
Philippines (the),179,1086,0,0.0
Philippines (the),299,3116,0,0.0
Philippines (the),106,748,0,0.0
Philippines (the),236,2985,0,0.0
Philippines (the),1254,32181,1,0.0
Philippines (the),2487,56880,2,0.0
Philippines (the),19669,630084,19,0.0
Philippines (the),2235,317685,2,0.0
Philippines (the),2873,358129,2,0.0
Philippines (the),408,4571,0,0.0
Philippines (the),1061,69143,1,0.0
Philippines (the),374,7391,0,0.0
Philippines (the),3520,412538,3,0.0
Philippines (the),406,11143,0,0.0
Philippines (the),1644,198804,1,0.0
Philippines (the),662,15525,0,0.0
Philippines (the),200,2143,0,0.0
Philippines (the),1286,41196,1,0.0
Philippines (the),1251,76506,1,0.0
Philippines (the),1244,34237,1,0.0
Philippines (the),872,34594,0,0.0
Philippines (the),355,5139,0,0.0
Philippines (the),154,1740,0,0.0
Philippines (the),749,16303,0,0.0
Philippines (the),331,6186,0,0.0
Philippines (the),260,4749,0,0.0
Philippines (the),3832,522425,3,0.0
Philippines (the),882,28168,0,0.0
Philippines (the),2408,65226,2,0.0
Philippines (the),1504,30351,1,0.0
Philippines (the),26858,13158264,26,13.0
Philippines (the),522,14606,0,0.0
Philippines (the),230,3809,0,0.0
Philippines (the),402,1935,0,0.0
Philippines (the),115,540,0,0.0
Philippines (the),428,4285,0,0.0
Philippines (the),413,2016,0,0.0
Philippines (the),290,2761,0,0.0
Philippines (the),256,2880,0,0.0
Philippines (the),501,5303,0,0.0
Philippines (the),2741,212517,2,0.0
Philippines (the),11511,1209573,11,1.0
Philippines (the),268,1902,0,0.0
Philippines (the),52551,37199085,52,37.0
Philippines (the),523,5208,0,0.0
Philippines (the),1248,74347,1,0.0
Philippines (the),240,2748,0,0.0
Philippines (the),152,1114,0,0.0
Philippines (the),68906,75514219,68,75.0
Philippines (the),351,5078,0,0.0
Philippines (the),1205,39273,1,0.0
Philippines (the),10750,1393122,10,1.0
Philippines (the),6378,2147225,6,2.0
Philippines (the),1732,153651,1,0.0
Philippines (the),1184,91543,1,0.0
Philippines (the),3018,546964,3,0.0
Philippines (the),665,23344,0,0.0
Philippines (the),217,1505,0,0.0
Philippines (the),565,23525,0,0.0
Philippines (the),628,9036,0,0.0
Philippines (the),304,6435,0,0.0
Philippines (the),201,2568,0,0.0
Philippines (the),3840,284390,3,0.0
Philippines (the),602,16201,0,0.0
Philippines (the),27852,15078864,27,15.0
Philippines (the),879,30004,0,0.0
Philippines (the),531,9720,0,0.0
Philippines (the),140,876,0,0.0
Philippines (the),12169,3249953,12,3.0
Philippines (the),2012,46347,2,0.0
Philippines (the),3203,420457,3,0.0
Philippines (the),211,3339,0,0.0
Philippines (the),254,4173,0,0.0
Philippines (the),166,1496,0,0.0
Philippines (the),215,1633,0,0.0
Philippines (the),2137,66730,2,0.0
Philippines (the),78,178,0,0.0
Philippines (the),95,292,0,0.0
Philippines (the),495,17598,0,0.0
Philippines (the),420,12325,0,0.0
Philippines (the),399,10271,0,0.0
Philippines (the),719,36612,0,0.0
Philippines (the),40762,36804669,40,36.0
