adm1_psgc,adm2_psgc,adm2_en,geo_level,len_crs,area_crs,len_km,area_km2
1600000000,1600300000,Agusan del Sur,Prov,576894.4879596721,8464560718.194451,576.8944879596721,8464.56071819445
1600000000,1606700000,Surigao del Norte,Prov,1416665.5510536276,1976013491.0086462,1416.6655510536277,1976.0134910086463
1600000000,1606800000,Surigao del Sur,Prov,980894.047784098,4708184194.882752,980.894047784098,4708.184194882752
1600000000,1608500000,Dinagat Islands,Prov,578142.6236432549,806269387.9527422,578.1426236432549,806.2693879527422
1700000000,1704000000,Marinduque,Prov,313105.41894249775,922124336.0186137,313.10541894249775,922.1243360186137
1700000000,1705100000,Occidental Mindoro,Prov,851154.9312522119,5975358124.296998,851.1549312522119,5975.358124296998
1700000000,1705200000,Oriental Mindoro,Prov,605235.0333923186,4198894631.94042,605.2350333923187,4198.89463194042
1700000000,1705300000,Palawan,Prov,6630994.02149666,14464840465.384005,6630.99402149666,14464.840465384004
1700000000,1705900000,Romblon,Prov,625469.8268394254,1308883380.644707,625.4698268394254,1308.883380644707
1900000000,1900700000,Basilan,Prov,765775.5951006298,1133551657.417888,765.7755951006299,1133.551657417888
1900000000,1903600000,Lanao del Sur,Prov,465505.4041625119,4103447649.4223485,465.5054041625119,4103.447649422348
1900000000,1906600000,Sulu,Prov,2242590.687380801,1516335977.2582119,2242.590687380801,1516.3359772582119
1900000000,1907000000,Tawi-Tawi,Prov,1770217.1227797933,1157107865.367849,1770.2171227797933,1157.1078653678492
1900000000,1908700000,Maguindanao del Norte,Prov,459520.22251578176,2550339819.483625,459.52022251578177,2550.339819483625
1900000000,1908800000,Maguindanao del Sur,Prov,459919.1933263875,2459987413.929665,459.9191933263875,2459.9874139296653
1900000000,1909900000,,,445919.8592655816,542850232.3724711,445.9198592655816,542.850232372471
