ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
Hinabangan,PH086008000,Samar,PH086000000,Region VIII,PH080000000,86008000,12/31/19,85542.501,400473193.4,125.181,11.72
Jiabong,PH086009000,Samar,PH086000000,Region VIII,PH080000000,86009000,12/31/19,61360.647,121635345.7,124.973,11.851
Marabut,PH086010000,Samar,PH086000000,Region VIII,PH080000000,86010000,12/31/19,75562.854,136871582.9,125.217,11.206
Matuguinao,PH086011000,Samar,PH086000000,Region VIII,PH080000000,86011000,12/31/19,89444.999,375282600.2,125.012,12.194
Motiong,PH086012000,Samar,PH086000000,Region VIII,PH080000000,86012000,12/31/19,88089.906,125545642,125.012,11.899
Pinabacdao,PH086013000,Samar,PH086000000,Region VIII,PH080000000,86013000,12/31/19,67437.755,99054504.54,125.049,11.545
San Jose de Buan,PH086014000,Samar,PH086000000,Region VIII,PH080000000,86014000,12/31/19,72409.436,297727771.3,125.057,12.07
San Sebastian,PH086015000,Samar,PH086000000,Region VIII,PH080000000,86015000,12/31/19,32760.345,32533297.52,125.028,11.697
Santa Margarita,PH086016000,Samar,PH086000000,Region VIII,PH080000000,86016000,12/31/19,66830.997,126066799.3,124.712,12.058
Santa Rita,PH086017000,Samar,PH086000000,Region VIII,PH080000000,86017000,12/31/19,151634.373,243933182.9,125.004,11.434
Santo Niño,PH086018000,Samar,PH086000000,Region VIII,PH080000000,86018000,12/31/19,44123.943,29988415.93,124.435,11.926
Talalora,PH086019000,Samar,PH086000000,Region VIII,PH080000000,86019000,12/31/19,55853.99,27027176.78,124.848,11.509
Tarangnan,PH086020000,Samar,PH086000000,Region VIII,PH080000000,86020000,12/31/19,159032.404,86745704.19,124.786,11.909
Villareal,PH086021000,Samar,PH086000000,Region VIII,PH080000000,86021000,12/31/19,110523.04,130830128.9,124.943,11.539
Paranas,PH086022000,Samar,PH086000000,Region VIII,PH080000000,86022000,12/31/19,103845.993,512532447.8,125.127,11.874
Zumarraga,PH086023000,Samar,PH086000000,Region VIII,PH080000000,86023000,12/31/19,75115.537,35257460.06,124.857,11.661
Tagapul-An,PH086024000,Samar,PH086000000,Region VIII,PH080000000,86024000,12/31/19,51733.344,28659823.62,124.19,12.062
San Jorge,PH086025000,Samar,PH086000000,Region VIII,PH080000000,86025000,12/31/19,78745.898,268552620.7,124.903,11.983
Pagsanghan,PH086026000,Samar,PH086000000,Region VIII,PH080000000,86026000,12/31/19,34376.741,33199419.96,124.754,11.964
Anahawan,PH086401000,Southern Leyte,PH086400000,Region VIII,PH080000000,86401000,12/31/19,25424.016,34594800.23,125.233,10.289
Bontoc,PH086402000,Southern Leyte,PH086400000,Region VIII,PH080000000,86402000,12/31/19,75809.354,124937275.2,124.92,10.382
Hinunangan,PH086403000,Southern Leyte,PH086400000,Region VIII,PH080000000,86403000,12/31/19,80633.307,167989833.5,125.157,10.385
Hinundayan,PH086404000,Southern Leyte,PH086400000,Region VIII,PH080000000,86404000,12/31/19,30143.355,41495256.33,125.239,10.345
Libagon,PH086405000,Southern Leyte,PH086400000,Region VIII,PH080000000,86405000,12/31/19,61003.257,105371728.5,125.068,10.329
Liloan,PH086406000,Southern Leyte,PH086400000,Region VIII,PH080000000,86406000,12/31/19,77485.4,86846887.78,125.162,10.133
City of Maasin,PH086407000,Southern Leyte,PH086400000,Region VIII,PH080000000,86407000,12/31/19,88042.953,204447384.8,124.862,10.183
Macrohon,PH086408000,Southern Leyte,PH086400000,Region VIII,PH080000000,86408000,12/31/19,43496.531,66430386.12,124.951,10.091
Malitbog,PH086409000,Southern Leyte,PH086400000,Region VIII,PH080000000,86409000,12/31/19,46263.536,85222571.16,124.969,10.166
Padre Burgos,PH086410000,Southern Leyte,PH086400000,Region VIII,PH080000000,86410000,12/31/19,31449.543,27530732.04,125.007,10.068
Pintuyan,PH086411000,Southern Leyte,PH086400000,Region VIII,PH080000000,86411000,12/31/19,41950.866,44868355.61,125.241,9.975
Saint Bernard,PH086412000,Southern Leyte,PH086400000,Region VIII,PH080000000,86412000,12/31/19,58287.081,86662552.02,125.117,10.317
San Francisco,PH086413000,Southern Leyte,PH086400000,Region VIII,PH080000000,86413000,12/31/19,38996.445,55415885.06,125.169,10.069
San Juan,PH086414000,Southern Leyte,PH086400000,Region VIII,PH080000000,86414000,12/31/19,26864.773,30648435.06,125.191,10.272
San Ricardo,PH086415000,Southern Leyte,PH086400000,Region VIII,PH080000000,86415000,12/31/19,47049.462,37984594.08,125.259,9.99
Silago,PH086416000,Southern Leyte,PH086400000,Region VIII,PH080000000,86416000,12/31/19,66738.533,169229883.8,125.128,10.514
Sogod,PH086417000,Southern Leyte,PH086400000,Region VIII,PH080000000,86417000,12/31/19,63835.504,219645500.6,124.995,10.449
Tomas Oppus,PH086418000,Southern Leyte,PH086400000,Region VIII,PH080000000,86418000,12/31/19,35779.854,59302663.02,124.953,10.275
Limasawa,PH086419000,Southern Leyte,PH086400000,Region VIII,PH080000000,86419000,12/31/19,21006.424,6816851.363,125.072,9.931
Almeria,PH087801000,Biliran,PH087800000,Region VIII,PH080000000,87801000,12/31/19,36876.076,50752810.09,124.404,11.635
Biliran,PH087802000,Biliran,PH087800000,Region VIII,PH080000000,87802000,12/31/19,50899.754,61776040.61,124.483,11.505
Cabucgayan,PH087803000,Biliran,PH087800000,Region VIII,PH080000000,87803000,12/31/19,39926.036,58995593.77,124.562,11.505
Caibiran,PH087804000,Biliran,PH087800000,Region VIII,PH080000000,87804000,12/31/19,42614.708,77499173.4,124.551,11.562
Culaba,PH087805000,Biliran,PH087800000,Region VIII,PH080000000,87805000,12/31/19,39641.356,84688720.74,124.509,11.636
Kawayan,PH087806000,Biliran,PH087800000,Region VIII,PH080000000,87806000,12/31/19,60773.584,70199823.01,124.425,11.676
Maripipi,PH087807000,Biliran,PH087800000,Region VIII,PH080000000,87807000,12/31/19,28459.374,29092238.03,124.323,11.789
Naval,PH087808000,Biliran,PH087800000,Region VIII,PH080000000,87808000,12/31/19,54273.326,98823871.76,124.437,11.57
Dapitan City,PH097201000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97201000,12/31/19,162996.209,220258804.5,123.443,8.593
Dipolog City,PH097202000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97202000,12/31/19,102087.102,118568689.7,123.348,8.505
Katipunan,PH097203000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97203000,12/31/19,91628.322,232816360.8,123.275,8.399
La Libertad,PH097204000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97204000,12/31/19,48715.064,54852190.74,123.527,8.46
Labason,PH097205000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97205000,12/31/19,76432.087,159548986.7,122.532,8.036
Liloy,PH097206000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97206000,12/31/19,62831.329,122587889.7,122.676,8.083
Manukan,PH097207000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97207000,12/31/19,74317.751,146852276.6,123.109,8.462
Mutia,PH097208000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97208000,12/31/19,54551.805,88503642.31,123.516,8.381
Piñan,PH097209000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97209000,12/31/19,86076.222,123130255.6,123.45,8.418
Polanco,PH097210000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97210000,12/31/19,99958.575,160896026.8,123.391,8.454
Pres. Manuel A. Roxas,PH097211000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97211000,12/31/19,82854.908,233078855.2,123.187,8.423
Rizal,PH097212000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97212000,12/31/19,58161.483,67012477.08,123.537,8.554
Salug,PH097213000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97213000,12/31/19,94538.417,144557335.7,122.794,8.074
Sergio Osmeña Sr.,PH097214000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97214000,12/31/19,109224.119,370877757.4,123.385,8.289
Siayan,PH097215000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97215000,12/31/19,132357.276,481909037.1,123.128,8.156
Sibuco,PH097216000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97216000,12/31/19,153098.919,598225732.8,122.079,7.306
Sibutad,PH097217000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97217000,12/31/19,62214.248,68325424.76,123.487,8.604
Sindangan,PH097218000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97218000,12/31/19,176304.327,444830045.2,123.025,8.193
Siocon,PH097219000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97219000,12/31/19,112015.944,371592725.7,122.227,7.685
Sirawai,PH097220000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97220000,12/31/19,93323.448,269966536.9,122.196,7.543
Tampilisan,PH097221000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97221000,12/31/19,70321.148,144550858.2,122.681,7.96
Jose Dalman,PH097222000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97222000,12/31/19,79388.852,134045040.3,123.056,8.395
Gutalac,PH097223000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97223000,12/31/19,114673.868,398682321.2,122.364,7.949
Baliguian,PH097224000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97224000,12/31/19,115350.718,391457637.9,122.253,7.82
Godod,PH097225000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97225000,12/31/19,97110.794,237563442.7,122.833,7.993
Bacungan,PH097226000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97226000,12/31/19,105025.189,250606441.9,122.943,8.055
Kalawit,PH097227000,Zamboanga del Norte,PH097200000,Region IX,PH090000000,97227000,12/31/19,92399.241,248824341,122.538,7.952
Aurora,PH097302000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97302000,12/31/19,88976.487,160441218.2,123.582,7.949
Bayog,PH097303000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97303000,12/31/19,106346.93,265276441.6,123.033,7.899
Dimataling,PH097305000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97305000,12/31/19,95344.059,110181287.1,123.318,7.53
Dinas,PH097306000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97306000,12/31/19,111900.054,166435662.7,123.341,7.627
Dumalinao,PH097307000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97307000,12/31/19,78915.225,127113286.1,123.386,7.774
Dumingag,PH097308000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97308000,12/31/19,100888.746,303734649.7,123.282,8.162
Kumalarang,PH097311000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97311000,12/31/19,74923.231,134209950.9,123.138,7.775
Labangan,PH097312000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97312000,12/31/19,100898.399,160022172.2,123.424,7.909
Lapuyan,PH097313000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97313000,12/31/19,102243.672,156396661.1,123.196,7.684
Mahayag,PH097315000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97315000,12/31/19,89774.434,185202721.8,123.428,8.154
Margosatubig,PH097317000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97317000,12/31/19,96569.671,84387956.62,123.185,7.575
Midsalip,PH097318000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97318000,12/31/19,87772.916,280500150.8,123.259,8.028
Molave,PH097319000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97319000,12/31/19,84206.59,107017221.6,123.489,8.166
Pagadian City,PH097322000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97322000,12/31/19,136707.15,274720511.4,123.347,7.885
Ramon Magsaysay,PH097323000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97323000,12/31/19,56099.568,96937193.77,123.458,8.019
San Miguel,PH097324000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97324000,12/31/19,61285.105,92502518.92,123.267,7.691
San Pablo,PH097325000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97325000,12/31/19,73401.218,102942852.6,123.426,7.679
Tabina,PH097327000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97327000,12/31/19,53431.335,67154989.73,123.412,7.42
Tambulig,PH097328000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97328000,12/31/19,99675.447,138608628.4,123.554,8.062
Tukuran,PH097330000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97330000,12/31/19,91989.178,130024627.6,123.534,7.908
Zamboanga City,PH097332000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97332000,12/31/19,521649.107,1497154802,122.145,7.156
Lakewood,PH097333000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97333000,12/31/19,80324.266,203243218.9,123.153,7.892
Josefina,PH097337000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97337000,12/31/19,42002.173,52115427.66,123.537,8.215
Pitogo,PH097338000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97338000,12/31/19,86993.113,74146990.34,123.339,7.447
Sominot,PH097340000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97340000,12/31/19,65602.285,112390516.4,123.376,8.035
Vincenzo A. Sagun,PH097341000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97341000,12/31/19,76479.269,62137610.94,123.171,7.519
Guipos,PH097343000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97343000,12/31/19,59037.369,96888075.73,123.31,7.749
Tigbao,PH097344000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,97344000,12/31/19,57081.984,124341067.9,123.253,7.843
Alicia,PH098301000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98301000,12/31/19,130389.954,146228541.3,122.922,7.52
Buug,PH098302000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98302000,12/31/19,66695.202,153408216.8,123.043,7.754
Diplahan,PH098303000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98303000,12/31/19,77934.852,124206279.4,122.959,7.786
Imelda,PH098304000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98304000,12/31/19,45357.908,84639926.14,122.938,7.645
Ipil,PH098305000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98305000,12/31/19,106650.754,158172920.5,122.57,7.782
Kabasalan,PH098306000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98306000,12/31/19,82797.46,320796886.8,122.822,7.862
Mabuhay,PH098307000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98307000,12/31/19,132625.521,79907863.48,122.899,7.39
Malangas,PH098308000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98308000,12/31/19,113381.704,121091469.7,123.008,7.62
Naga,PH098309000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98309000,12/31/19,126491.253,151837783.1,122.71,7.842
Olutanga,PH098310000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98310000,12/31/19,96158.483,65430704.57,122.824,7.337
Payao,PH098311000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98311000,12/31/19,147606.984,192279684,122.843,7.588
Roseller Lim,PH098312000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98312000,12/31/19,97068.328,211414304.9,122.431,7.702
Siay,PH098313000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98313000,12/31/19,112816.345,228047936.3,122.877,7.735
Talusan,PH098314000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98314000,12/31/19,62981.984,46462838.23,122.859,7.367
Titay,PH098315000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98315000,12/31/19,101302.601,297654761.1,122.518,7.845
Tungawan,PH098316000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,98316000,12/31/19,204601.881,344249116.3,122.37,7.568
City of Isabela,PH099701000,City of Isabela,PH099700000,Region IX,PH090000000,99701000,12/31/19,136126.782,219869684,121.987,6.651
Baungon,PH101301000,Bukidnon,PH101300000,Region X,PH100000000,101301000,12/31/19,137245.426,421465347.6,124.709,8.246
Damulog,PH101302000,Bukidnon,PH101300000,Region X,PH100000000,101302000,12/31/19,75926.205,172503862.1,124.962,7.459
Dangcagan,PH101303000,Bukidnon,PH101300000,Region X,PH100000000,101303000,12/31/19,53684.497,73310111.23,125.012,7.596
Don Carlos,PH101304000,Bukidnon,PH101300000,Region X,PH100000000,101304000,12/31/19,106933.25,216684666.6,124.924,7.692
Impasug-Ong,PH101305000,Bukidnon,PH101300000,Region X,PH100000000,101305000,12/31/19,186858.369,954646169.9,125.122,8.393
Kadingilan,PH101306000,Bukidnon,PH101300000,Region X,PH100000000,101306000,12/31/19,99908.808,166864106.5,124.876,7.54
Kalilangan,PH101307000,Bukidnon,PH101300000,Region X,PH100000000,101307000,12/31/19,106154.668,217676729.8,124.731,7.78
Kibawe,PH101308000,Bukidnon,PH101300000,Region X,PH100000000,101308000,12/31/19,82254.155,174261294.5,125.007,7.521
Kitaotao,PH101309000,Bukidnon,PH101300000,Region X,PH100000000,101309000,12/31/19,171664.781,386695317.7,125.152,7.566
Lantapan,PH101310000,Bukidnon,PH101300000,Region X,PH100000000,101310000,12/31/19,103251.666,355774581.9,124.981,8.062
Libona,PH101311000,Bukidnon,PH101300000,Region X,PH100000000,101311000,12/31/19,95898.378,270387445.5,124.754,8.333
City of Malaybalay,PH101312000,Bukidnon,PH101300000,Region X,PH100000000,101312000,12/31/19,177086.876,1004031710,125.183,8.16
Malitbog,PH101313000,Bukidnon,PH101300000,Region X,PH100000000,101313000,12/31/19,97066.305,381713952.6,124.953,8.526
Manolo Fortich,PH101314000,Bukidnon,PH101300000,Region X,PH100000000,101314000,12/31/19,168939.359,436532956.8,124.89,8.374
Maramag,PH101315000,Bukidnon,PH101300000,Region X,PH100000000,101315000,12/31/19,106922.992,320490226.8,124.963,7.812
Pangantucan,PH101316000,Bukidnon,PH101300000,Region X,PH100000000,101316000,12/31/19,160015.1,430691338.4,124.808,7.805
Quezon,PH101317000,Bukidnon,PH101300000,Region X,PH100000000,101317000,12/31/19,133154.753,647225189.3,125.167,7.713
San Fernando,PH101318000,Bukidnon,PH101300000,Region X,PH100000000,101318000,12/31/19,120698.046,605349655.4,125.352,7.813
Sumilao,PH101319000,Bukidnon,PH101300000,Region X,PH100000000,101319000,12/31/19,68275.757,168513230.1,124.935,8.286
Talakag,PH101320000,Bukidnon,PH101300000,Region X,PH100000000,101320000,12/31/19,187165.54,979035820.1,124.693,8.056
City of Valencia,PH101321000,Bukidnon,PH101300000,Region X,PH100000000,101321000,12/31/19,173897.3,667801217.6,125.08,7.912
Cabanglasan,PH101322000,Bukidnon,PH101300000,Region X,PH100000000,101322000,12/31/19,96839.932,306806125.9,125.326,8.073
Catarman,PH101801000,Camiguin,PH101800000,Region X,PH100000000,101801000,12/31/19,37571.545,73754182.99,124.676,9.169
Guinsiliban,PH101802000,Camiguin,PH101800000,Region X,PH100000000,101802000,12/31/19,30558.695,30075186.33,124.773,9.12
Mahinog,PH101803000,Camiguin,PH101800000,Region X,PH100000000,101803000,12/31/19,29255.082,30575503.26,124.768,9.168
Mambajao,PH101804000,Camiguin,PH101800000,Region X,PH100000000,101804000,12/31/19,42305.451,72776254,124.71,9.22
Sagay,PH101805000,Camiguin,PH101800000,Region X,PH100000000,101805000,12/31/19,29463.155,35351961.64,124.731,9.128
Bacolod,PH103501000,Lanao del Norte,PH103500000,Region X,PH100000000,103501000,12/31/19,67965.383,63381250.52,124.028,8.151
Baloi,PH103502000,Lanao del Norte,PH103500000,Region X,PH100000000,103502000,12/31/19,50208.626,64764829.21,124.221,8.117
Baroy,PH103503000,Lanao del Norte,PH103500000,Region X,PH100000000,103503000,12/31/19,62901.519,49195484.26,123.82,7.979
Iligan City,PH103504000,Lanao del Norte,PH103500000,Region X,PH100000000,103504000,12/31/19,175253.542,532187328.2,124.373,8.231
Kapatagan,PH103505000,Lanao del Norte,PH103500000,Region X,PH100000000,103505000,12/31/19,95735.989,134614615.3,123.732,7.893
Sultan Naga Dimaporo,PH103506000,Lanao del Norte,PH103500000,Region X,PH100000000,103506000,12/31/19,107899.001,209596994.4,123.745,7.794
Kauswagan,PH103507000,Lanao del Norte,PH103500000,Region X,PH100000000,103507000,12/31/19,63991.017,70409685.8,124.087,8.147
Kolambugan,PH103508000,Lanao del Norte,PH103500000,Region X,PH100000000,103508000,12/31/19,66842.834,66584677.33,123.894,8.089
Lala,PH103509000,Lanao del Norte,PH103500000,Region X,PH100000000,103509000,12/31/19,87500.381,122823006.2,123.763,7.954
Linamon,PH103510000,Lanao del Norte,PH103500000,Region X,PH100000000,103510000,12/31/19,23423.431,18516230.94,124.155,8.168
Magsaysay,PH103511000,Lanao del Norte,PH103500000,Region X,PH100000000,103511000,12/31/19,65496.351,89871648.97,123.927,8.013
Maigo,PH103512000,Lanao del Norte,PH103500000,Region X,PH100000000,103512000,12/31/19,57346.696,90876516.43,123.974,8.115
Matungao,PH103513000,Lanao del Norte,PH103500000,Region X,PH100000000,103513000,12/31/19,34303.298,34746429.86,124.169,8.122
Munai,PH103514000,Lanao del Norte,PH103500000,Region X,PH100000000,103514000,12/31/19,73075.157,140043947.9,124.058,8.021
Nunungan,PH103515000,Lanao del Norte,PH103500000,Region X,PH100000000,103515000,12/31/19,69767.041,219574557.4,123.933,7.791
Pantao Ragat,PH103516000,Lanao del Norte,PH103500000,Region X,PH100000000,103516000,12/31/19,50407.571,49911508.69,124.166,8.05
Poona Piagapo,PH103517000,Lanao del Norte,PH103500000,Region X,PH100000000,103517000,12/31/19,49934.077,65234402.08,124.12,8.096
Salvador,PH103518000,Lanao del Norte,PH103500000,Region X,PH100000000,103518000,12/31/19,48971.38,91922312.98,123.89,7.904
Sapad,PH103519000,Lanao del Norte,PH103500000,Region X,PH100000000,103519000,12/31/19,54918.6,117404646.8,123.844,7.835
Tagoloan,PH103520000,Lanao del Norte,PH103500000,Region X,PH100000000,103520000,12/31/19,65619.012,108344637.8,124.316,8.159
Tangcal,PH103521000,Lanao del Norte,PH103500000,Region X,PH100000000,103521000,12/31/19,53361.192,69351120.58,123.981,8.029
Tubod,PH103522000,Lanao del Norte,PH103500000,Region X,PH100000000,103522000,12/31/19,95113.96,166838344.6,123.894,7.981
Pantar,PH103523000,Lanao del Norte,PH103500000,Region X,PH100000000,103523000,12/31/19,38516.461,60155265.23,124.289,8.088
Aloran,PH104201000,Misamis Occidental,PH104200000,Region X,PH100000000,104201000,12/31/19,62164.225,110213231.4,123.76,8.394
Baliangao,PH104202000,Misamis Occidental,PH104200000,Region X,PH100000000,104202000,12/31/19,72795.979,58928855.9,123.618,8.616
Bonifacio,PH104203000,Misamis Occidental,PH104200000,Region X,PH100000000,104203000,12/31/19,56001.973,109718772.6,123.599,8.081
Calamba,PH104204000,Misamis Occidental,PH104200000,Region X,PH100000000,104204000,12/31/19,60236.267,64075703.79,123.64,8.521
Clarin,PH104205000,Misamis Occidental,PH104200000,Region X,PH100000000,104205000,12/31/19,61871.048,78110482.78,123.77,8.21
Concepcion,PH104206000,Misamis Occidental,PH104200000,Region X,PH100000000,104206000,12/31/19,28065.974,47871694.51,123.596,8.41
Jimenez,PH104207000,Misamis Occidental,PH104200000,Region X,PH100000000,104207000,12/31/19,58611.868,84370347.59,123.765,8.331
Lopez Jaena,PH104208000,Misamis Occidental,PH104200000,Region X,PH100000000,104208000,12/31/19,90847.276,112816288.3,123.7,8.498
Oroquieta City,PH104209000,Misamis Occidental,PH104200000,Region X,PH100000000,104209000,12/31/19,81054.817,153160123.5,123.733,8.451
City of Ozamiz,PH104210000,Misamis Occidental,PH104200000,Region X,PH100000000,104210000,12/31/19,86245.097,149666756.8,123.777,8.156
Panaon,PH104211000,Misamis Occidental,PH104200000,Region X,PH100000000,104211000,12/31/19,53399.78,33995883.86,123.792,8.362
Plaridel,PH104212000,Misamis Occidental,PH104200000,Region X,PH100000000,104212000,12/31/19,64691.864,81684894.26,123.692,8.588
Sapang Dalaga,PH104213000,Misamis Occidental,PH104200000,Region X,PH100000000,104213000,12/31/19,88041.869,121752081.8,123.588,8.513
Sinacaban,PH104214000,Misamis Occidental,PH104200000,Region X,PH100000000,104214000,12/31/19,66748.791,89513939.85,123.756,8.295
Tangub City,PH104215000,Misamis Occidental,PH104200000,Region X,PH100000000,104215000,12/31/19,75508.4,178997515.7,123.687,8.105
Tudela,PH104216000,Misamis Occidental,PH104200000,Region X,PH100000000,104216000,12/31/19,69336.054,114532612.2,123.752,8.25
Don Victoriano Chiongbian,PH104217000,Misamis Occidental,PH104200000,Region X,PH100000000,104217000,12/31/19,73849.895,281648612.5,123.61,8.266
Alubijid,PH104301000,Misamis Oriental,PH104300000,Region X,PH100000000,104301000,12/31/19,63039.281,117054646.2,124.436,8.488
Balingasag,PH104302000,Misamis Oriental,PH104300000,Region X,PH100000000,104302000,12/31/19,60474.447,165693553.5,124.845,8.746
Balingoan,PH104303000,Misamis Oriental,PH104300000,Region X,PH100000000,104303000,12/31/19,47931.384,67703148.93,124.878,8.936
Binuangan,PH104304000,Misamis Oriental,PH104300000,Region X,PH100000000,104304000,12/31/19,16073.276,11976271.11,124.798,8.919
Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000,104305000,12/31/19,190070.32,506630048.9,124.602,8.373
Claveria,PH104306000,Misamis Oriental,PH104300000,Region X,PH100000000,104306000,12/31/19,176885.069,621978228.8,124.991,8.669
City of El Salvador,PH104307000,Misamis Oriental,PH104300000,Region X,PH100000000,104307000,12/31/19,56462.802,85122442.49,124.499,8.514
Gingoog City,PH104308000,Misamis Oriental,PH104300000,Region X,PH100000000,104308000,12/31/19,123514.661,578054724.6,125.103,8.776
Gitagum,PH104309000,Misamis Oriental,PH104300000,Region X,PH100000000,104309000,12/31/19,28907.521,39455931.89,124.4,8.56
Initao,PH104310000,Misamis Oriental,PH104300000,Region X,PH100000000,104310000,12/31/19,43671.265,91074082.24,124.343,8.483
Jasaan,PH104311000,Misamis Oriental,PH104300000,Region X,PH100000000,104311000,12/31/19,45684.619,64829860.91,124.775,8.655
Kinoguitan,PH104312000,Misamis Oriental,PH104300000,Region X,PH100000000,104312000,12/31/19,44774.188,44269218.17,124.827,8.954
Lagonglong,PH104313000,Misamis Oriental,PH104300000,Region X,PH100000000,104313000,12/31/19,36663.253,47366086.45,124.828,8.808
Laguindingan,PH104314000,Misamis Oriental,PH104300000,Region X,PH100000000,104314000,12/31/19,31285.573,36561523.68,124.442,8.592
Libertad,PH104315000,Misamis Oriental,PH104300000,Region X,PH100000000,104315000,12/31/19,29521.959,35966257.73,124.371,8.53
Lugait,PH104316000,Misamis Oriental,PH104300000,Region X,PH100000000,104316000,12/31/19,36998.291,38481949.63,124.299,8.341
Magsaysay,PH104317000,Misamis Oriental,PH104300000,Region X,PH100000000,104317000,12/31/19,81771.06,112122842.9,125.206,8.971
Manticao,PH104318000,Misamis Oriental,PH104300000,Region X,PH100000000,104318000,12/31/19,51086.689,105878542.1,124.358,8.365
Medina,PH104319000,Misamis Oriental,PH104300000,Region X,PH100000000,104319000,12/31/19,46068.477,101591514.1,124.973,8.887
Naawan,PH104320000,Misamis Oriental,PH104300000,Region X,PH100000000,104320000,12/31/19,39169.839,65793048.89,124.342,8.419
Opol,PH104321000,Misamis Oriental,PH104300000,Region X,PH100000000,104321000,12/31/19,102179.283,192104621.8,124.5,8.427
Salay,PH104322000,Misamis Oriental,PH104300000,Region X,PH100000000,104322000,12/31/19,40718.324,78608745.05,124.833,8.861
Sugbongcogon,PH104323000,Misamis Oriental,PH104300000,Region X,PH100000000,104323000,12/31/19,40396.256,27289360.78,124.816,8.927
